id,title,creator,date,description,category,address,latitude,longitude,source,image,imageAttribution,imageAltText
marker_18,YWCA of Germantown “Administration Building”,"Ameer, Isbah",Opened 1915. Occupied until 2005 (Vacant since 2006),"Founded in 1870, the YWCA of Germantown opened its Gothic Revival-style Administration Building at 5820 Germantown Ave. in 1915. Expanded in 1920, it served as a vital community hub for decades. After financial struggles, the board was ousted in 1999 and the renamed Germantown Women’s Y soon closed. Purchased by Germantown Settlement in 2006 with a PRA loan, it never reopened. Fires in 2010 and 2012 followed Settlement’s bankruptcy. As of 2025, PRA has yet to find a redeveloper despite ongoing community advocacy. ",ywca,5820 Germantown Avenue,40.03688676,-75.17651294,,objects/arc_001.jpg,"Cameron Boucher",The entrance to the YWCA building
marker_4,YWCA for Colored Girls and Women (Branch Y),"Ameer, Isbah",1918 – 1952 Branch YWCA; 1958-present Germantown Settlement Music School,"Organizing for a “Colored Branch” of the YWCA began in 1917 as 5820 Germantown Ave remained white only. In 1918, 6128 Germantown Ave opened: an older, smaller building with tennis courts but no pool. By 1919, it had over 1,000 members. Integration began in 1946 with the YWCA’s “Interracial Charter” and 6128 closed in 1952. Since 1958 it has housed the Germantown Settlement Music School. For 34 years the Branch Y was a beacon of leadership and programming. Ora Washington, a national tennis and basketball champion, is honored with a marker outside. <a href='https://digbmc.github.io/germantown-y/stories/colored-branch' target='_blank'>Learn more about the Branch Y here.</a>",Branch,6128 Germantown Avenue,40.04103407,-75.17978712,https://digital.library.temple.edu/digital/custom/ywcaphiladelphia,objects/arc_067.jpg,Temple University Archives,The branch Y building
marker_13,Collins Manufacturing Company,"Ameer, Isbah",1857,"One of the Industries ""In 1917, YWCA centers were organized in the North American Lace Company at 1001 Glenwood Avenue and at the A. M. Collins Manufacturing Company at 226 Columbia, with classes, recreation, etc., and in each case with a YWCA Secretary whose salary was paid by the management. In 1920 the Association at the Collins plant was given up and the girls encouraged to participate as regular members of the Germantown industrial department. The North American Lace Company Association became affiliated with the YWCA of Philadelphia."" (Carner)",Industry,"525-559 Arch St, Philadelphia, PA 19106",39.9526,-75.1489,https://www.philadelphiabuildings.org/pab/app/pj_display.cfm/474461    https://libwww.freelibrary.org/digital/item/4051,,,
marker_17,Wakefield Mills,"Ameer, Isbah",1826-57,"The first knitting mill in the US, Taylor Building at Main & Lincoln Streets in Wakefield. Owned by the Fisher family of Wakefield, the mills stopped operating in the 1880s. The YWCA was first established to help female workers from mills to find rest and recereation in the evenings",Industry,"5239-5299 Ogontz Ave, Philadelphia, PA",40.03342898,-75.15085623,https://artgallery.yale.edu/collections/objects/47550       https://digital.librarycompany.org/islandora/object/digitool%3A65459,,,
marker_3,Germantown Town Hall,"Ameer, Isbah",built 1854,"Designed by architect Napoleon LeBrun, the building never actually served as the town hall. Over the years the building has had many uses",Landmark,"Germantown Av &, W Haines St, Philadelphia, PA 19144",40.03840737,-75.17733154,https://hiddencityphila.org/2011/11/8317/    https://vimeo.com/63831952,,,
marker_11,National Bank of Germantown,"Ameer, Isbah",1864,"One of Philadelphia's 27 Obsolete Banks that issued Obsolete Bank Notes during the Obsolete Bank Note Era (1782-1866). Merged with the Girard Trust Corn Exchange Bank taking that name, September 11, 1953",Landmark,"5500 Germantown Ave, Philadelphia, PA 19144",40.03435515,-75.17312317,"https://banknotehistory.spmc.org/wiki/National_Bank_of_Germantown,_Philadelphia,_PA_(Charter_546)",,,
marker_23,Aces Museum,"Ameer, Isbah",,,Landmark,5801 Germantown Ave Philadelphia PA 19144,40.03698,-75.17546,https://historicgermantownpa.org/Landmarks-map/,,,
marker_24,Awbury Arboretum,"Ameer, Isbah",,,Landmark,1 Awbury Rd Philadelphia PA 19138,40.048216,-75.169283,https://historicgermantownpa.org/Landmarks-map/,,,
marker_25,Black Writers Museum,"Ameer, Isbah",,,Landmark,5800 Germantown Ave Philadelphia PA 19144,40.03572,-75.17668,https://historicgermantownpa.org/Landmarks-map/,,,
marker_26,Cliveden of the National Trust,"Ameer, Isbah",,,Landmark,6401 Germantown Ave Philadelphia PA 19144,40.0472268,-75.1838695,https://historicgermantownpa.org/Landmarks-map/,,,
marker_27,Concord School House,"Ameer, Isbah",,,Landmark,6309 Germantown Ave Philadelphia PA 19144,40.04401,-75.181042,https://historicgermantownpa.org/Landmarks-map/,,,
marker_28,Ebenezer Maxwell Mansion,"Ameer, Isbah",,,Landmark,200 W Tulpehocken St Philadelphia PA 19144,40.0382012,-75.1858055,https://historicgermantownpa.org/Landmarks-map/,,,
marker_29,Germantown Historical Society,"Ameer, Isbah",,,Landmark,5501 Germantown Ave Philadelphia PA 19144,40.0343439,-75.174031,https://historicgermantownpa.org/Landmarks-map/,,,
marker_30,Germantown Mennonite Historic Trust,"Ameer, Isbah",,,Landmark,6133 Germantown Ave Philadelphia PA 19144,40.038918,-75.183649,https://historicgermantownpa.org/Landmarks-map/,,,
marker_31,Germantown White House,"Ameer, Isbah",,,Landmark,5512 Germantown Ave Philadelphia PA 19144,40.0344442,-75.17576217,https://historicgermantownpa.org/Landmarks-map/,,,
marker_32,Grumblethorpe,"Ameer, Isbah",,,Landmark,"5267 Germantown Ave, Philadelphia, PA",40.0320526,-75.1706612,https://historicgermantownpa.org/Landmarks-map/,,,
marker_33,Historic Fair Hill,"Ameer, Isbah",,,Landmark,"2910 Germantown Ave, Philadelphia, PA",39.9968876,-75.1461237,https://historicgermantownpa.org/Landmarks-map/,,,
marker_34,Historic RittenhouseTown,"Ameer, Isbah",,,Landmark,"208 Lincoln Dr, Philadelphia, PA",40.0296926,-75.1927623,https://historicgermantownpa.org/Landmarks-map/,,,
marker_35,Hood Cemetery,"Ameer, Isbah",,,Landmark,"4901 Germantown Ave, Philadelphia, PA",40.028954,-75.16202,https://historicgermantownpa.org/Landmarks-map/,,,
marker_36,Johnson House,"Ameer, Isbah",,,Landmark,"6306 Germantown Ave, Philadelphia, PA",40.0433432,-75.1834396,https://historicgermantownpa.org/Landmarks-map/,,,
marker_37,La Salle University Art Museum,"Ameer, Isbah",,,Landmark,"1900 W Olney Ave, Philadelphia, PA",40.040298,-75.15614,https://historicgermantownpa.org/Landmarks-map/,,,
marker_38,Lest We Forget Slavery Museum,"Ameer, Isbah",,,Landmark,"5501 Germantown Avenue, Philadelphia, PA",40.034019,-75.171967,https://historicgermantownpa.org/Landmarks-map/,,,
marker_39,Stenton,"Ameer, Isbah",,,Landmark,"4601 N 18th St, Philadelphia, PA",40.025,-75.1557998,https://historicgermantownpa.org/Landmarks-map/,,,
marker_40,Wyck,"Ameer, Isbah",,,Landmark,"6026 Germantown Ave, Philadelphia, PA",40.040002,-75.178628,https://historicgermantownpa.org/Landmarks-map/,,,
marker_41,The Colored Girls Museum,"Ameer, Isbah",,,Landmark,"4613 Newhall Street, Philadelphia, PA",40.0227091,-75.1644871,https://historicgermantownpa.org/Landmarks-map/,,,
