objectid,parentid,filename,youtubeid,title,creator,interviewer,interviewee,date,description,publisher,subject,personal_name,geographic_subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,notes
arc_001,,arc_001.jpg,,Germantown YWCA Upwards View From Entrance Photo,"Boucher, L. Cameron",,,2024-06-18,A front view photograph of the YWCA in Germantown looking upwards from the entance.,,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,,,Image;StillImage,image/jpeg,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_001.jpg,,,Image of the Germantown YWCA from an upwards angle from entrance point of view.,,
arc_002,,arc_002.jpg,,Germantown YWCA No Trespassing Sign,"Boucher, L. Cameron",,,2024-06-18,A photograph of the YWCA in Germantown no trespassing sign.,,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,,,Image;StillImage,image/jpeg,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_002.jpg,,,Image of the Germantown YWCA no trespassing sign indicating that Philadelphia Redevelopment Authority owns the property and violators who trespass will be prosecuted.,,
arc_003,,https://media.freelibrary.org/assets/digital/items/mlumaa00063/images/large.jpg,,"Philadelphia Land Use Map, 1942, Plate 7A-1 ","Plans & Registry Division, Bureau of Engineering Surveys & Zoning, Department of Public Works, Federal Works Progress Administration for Pennsylvania ",,,1942,"Geographic Coverage Ward: 22nd ward, Pennsylvania, Philadelphia",,Philadelphia (Pa.)--Maps; United States--Pennsylvania,,"22nd Ward (Philadelphia, Pa.)",,,,"<a href=""https://libwww.freelibrary.org/digital/item/11983""> Map Collection</a>",MLUMAA00063,Image;StillImage,image/jpeg,eng,public domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://media.freelibrary.org/assets/digital/items/mlumaa00063/images/large.jpg,,,"Image of Philadelphia Land Use Map, 1942, Plate 7A-1. Geographic Coverage includes
Philadelphia, Pennsylvania,  22nd ward ",,
arc_007,,http://hiddencityphila.org/wp-content/uploads/2015/01/gtownywca_pastorius.jpg,,Germantown YWCA and the Pastorius Monument viewed from Vernon Park,"Maule, Bradley",,,2015,A photograph of the Germantown YWCA building and the Pastorius Monument taken from the viewpoint in Vernon Park.,,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://hiddencityphila.org/2015/01/fearing-demolition-community-advocates-of-germantown-ywca-call-for-emergency-meeting/""> Hidden City Philadelphia</a>",,Image;StillImage,image/jpeg,eng,This material is in copyright and is used with permission from Hidden City Philadelphia.,https://rightsstatements.org/page/InC/1.0/?language=en,image,http://hiddencityphila.org/wp-content/uploads/2015/01/gtownywca_pastorius.jpg,,,Image of the Germantown YWCA building and the Pastorius Monument taken from the viewpoint in Vernon Park. The building is in poor condition.,,
arc_008,,arc_008.jpg,,Germantown YWCA's Women of Germantown Mural,"McGrath, Alice",,,2024-06-18,"A side view of the YWCA in Germantown where the ""Women of Germantown"" by artist David McShane resides.",,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,,,Image;StillImage,image/jpeg,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_008.jpg,,,"Image of Germantown YWCA from a side perpective showing the ""Women of Germantown"" by artist David McShane.",,
arc_009,,arc_009.jpg,,Germantown YWCA's Side View with Women of Germantown Mural,"McGrath, Alice",,,2024-06-18,"A side view of the YWCA in Germantown incuding the ""Women of Germantown"" murel by artist David McShane.",,Young Women's Christian Association--Buildings; Community Centers; Historic Buildings,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,,,Image;StillImage,image/jpeg,eng,CC BY,https://creativecommons.org/licenses/by/4.0/,image,/objects/arc_009.jpg,,,"Image of Germantown YWCA from a side perpective showing the ""Women of Germantown"" by artist David McShane.",,
arc_012,,arc_012.jpg,,Fire damages former Germantown YWCA building near Vernon Park,WHYY photographer,,,2012-01-06,A photograph of the Germantown YWCA building during the fire incident. The building is surrounded by emergency vehicles as firefighters are actively working to extinguish the flames.,,Young Women's Christian Association--Buildings; Building Deterioration; Fires,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://whyy.org/articles/fire-damages-germantown-ave-property-near-vernon-park/""> WHYY</a>",,Image;StillImage,image/jpeg,eng,This material is in copyright and is used with permission from WHYY.,https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_012.jpg,,,Image of the Germantown YWCA building during the fire incident with emergency vehicles and firefighters working to make sure the fire is extinguished as the fire hose is still out.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc_014,,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/86/default.jpg,,An exercise class at the Germantown YWCA,,,,Unknown,A photograph of Women participating in a fitness class at the Germantown YWCA.,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/search/searchterm/Philadelphia%20Evening%20Bulletin/field/publis/mode/exact/conn/and""> Philadelphia Evening Bulletin</a>",Young Women's Christian Association; Women; Exercise; Recreation centers;,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/86/rec/32""> Temple Digital Collection</a>",AWCAPX000066,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/86/default.jpg?highlightTerms=Philadelphia%20Evening%20Bulletin,,,Image of women perform stretching execises during an exercise class at the Germatown YWCA.,,
arc_015,,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/92/default.jpg,,Group photo outside the YWCA of Germantown,,,,Unknown,"A photograph of the ""Colored Branch"" of the Germantown YWCA with a group standing outside.","<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/search/searchterm/YWCA%20of%20Germantown/field/publis/mode/exact/conn/and""> YWCA of Germantown</a>",African American children; Young Women's Christian Association--Buildings; Community centers,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/92/rec/1""> Temple Digital Collection</a>",AWCAPX000072,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/92/default.jpg,,,"Image of a group standing in front of the ""Colored Branch"" of the Germantown YWCA.",,
arc_016,,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/43/default.jpg,,Swimming at the YWCA,"Blaul, Louis A.",,,1920-1930,A photograph of girls swimming at the Germantown YWCA.,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/search/searchterm/YWCA%20of%20Germantown/field/publis/mode/exact/conn/and""> YWCA of Germantown</a>",Young Women's Christian Association; Swimming; Swimming pools,,"Germantown (Philadelphia, Pa.)","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/43/rec/51""> Temple Digital Collection</a>",AWCAPX000020,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/43/default.jpg,,,Image of girls in the Germantown YWCA pool swimming.,,
